@relation all-combined-weka.filters.unsupervised.instance.Randomize-S2225

@attribute avgw3delay_div_avgw1delay numeric
@attribute avgw3delay_div_minw1delay numeric
@attribute avgw3delay_div_maxw1delay numeric
@attribute avgw3delay_div_avgw2delay numeric
@attribute avgw3delay_div_minw2delay numeric
@attribute avgw3delay_div_maxw2delay numeric
@attribute minw3delay_div_avgw1delay numeric
@attribute minw3delay_div_minw1delay numeric
@attribute minw3delay_div_maxw1delay numeric
@attribute minw3delay_div_avgw2delay numeric
@attribute minw3delay_div_minw2delay numeric
@attribute minw3delay_div_maxw2delay numeric
@attribute maxw3delay_div_avgw1delay numeric
@attribute maxw3delay_div_minw1delay numeric
@attribute maxw3delay_div_maxw1delay numeric
@attribute maxw3delay_div_avgw2delay numeric
@attribute maxw3delay_div_minw2delay numeric
@attribute maxw3delay_div_maxw2delay numeric
@attribute minw3delay_div_maxw3delay numeric
@attribute stdw3delay_div_stdw1delay numeric
@attribute stdw3delay_div_stdw2delay numeric
@attribute stdw1delay_div_stdw2delay numeric
@attribute avgw1delay_div_avgw2delay numeric
@attribute avgw1delay_div_minw2delay numeric
@attribute avgw1delay_div_maxw2delay numeric
@attribute minw1delay_div_avgw2delay numeric
@attribute minw1delay_div_minw2delay numeric
@attribute minw1delay_div_maxw2delay numeric
@attribute maxw1delay_div_avgw2delay numeric
@attribute maxw1delay_div_minw2delay numeric
@attribute maxw1delay_div_maxw2delay numeric
@attribute avgw3iat_div_avgw1iat numeric
@attribute avgw3iat_div_minw1iat numeric
@attribute avgw3iat_div_maxw1iat numeric
@attribute avgw3iat_div_avgw2iat numeric
@attribute avgw3iat_div_minw2iat numeric
@attribute avgw3iat_div_maxw2iat numeric
@attribute minw3iat_div_avgw1iat numeric
@attribute minw3iat_div_minw1iat numeric
@attribute minw3iat_div_maxw1iat numeric
@attribute minw3iat_div_avgw2iat numeric
@attribute minw3iat_div_minw2iat numeric
@attribute minw3iat_div_maxw2iat numeric
@attribute maxw3iat_div_avgw1iat numeric
@attribute maxw3iat_div_minw1iat numeric
@attribute maxw3iat_div_maxw1iat numeric
@attribute maxw3iat_div_avgw2iat numeric
@attribute maxw3iat_div_minw2iat numeric
@attribute maxw3iat_div_maxw2iat numeric
@attribute minw3iat_div_maxw3iat numeric
@attribute stdw3iat_div_stdw1iat numeric
@attribute stdw3iat_div_stdw2iat numeric
@attribute stdw1iat_div_stdw2iat numeric
@attribute avgw1iat_div_avgw2iat numeric
@attribute avgw1iat_div_minw2iat numeric
@attribute avgw1iat_div_maxw2iat numeric
@attribute minw1iat_div_avgw2iat numeric
@attribute minw1iat_div_minw2iat numeric
@attribute minw1iat_div_maxw2iat numeric
@attribute maxw1iat_div_avgw2iat numeric
@attribute maxw1iat_div_minw2iat numeric
@attribute maxw1iat_div_maxw2iat numeric
@attribute class {c,n}

@data
1.006675,1.022967,0.889536,0.984074,1,0.869565,1.082482,1.1,0.956522,1.007303,1.022967,0.92997,0.984688,1,0.909091,1.083157,1.1,1,0.909091,1.081336,1.130344,1.045321,1.000624,1.016183,0.923803,0.984688,1,0.909091,1.132391,1.15,1.045455,0.925287,0,0.153333,0,0,0,4.310345,0,0.714286,0.98773,0,0.214667,0,0,0,4.601227,0,1,0,0.789117,0.989831,1.254354,1.067485,0,0.232,0,0,0,6.441718,0,1.4,n
0.686668,0.766364,0.602143,0.407277,0.454545,0.357143,1.242194,1.386364,1.089286,0.59248,0.648462,0.518769,0.351412,0.384615,0.307692,1.071805,1.173077,0.938462,0.327869,5.22843,5.564539,1.064285,0.862832,0.944359,0.755487,0.773105,0.846154,0.676923,0.983952,1.076923,0.861538,1.021429,0,0.077297,0,0,0,12.142857,0,0.918919,1.156334,0,0.089375,0,0,0,13.746631,0,1.0625,0,0.977207,1.042081,1.066388,1.132075,0,0.0875,0,0,0,14.959569,0,1.15625,c
1.019574,1.041754,0.989667,0.995879,1.017544,0.966667,1.04739,1.070175,1.016667,1.009749,1.041754,0.989667,0.986283,1.017544,0.966667,1.037297,1.070175,1.016667,0.95082,0.984892,1.015238,1.030811,0.990364,1.021754,0.970667,0.969278,1,0.95,1.020292,1.052632,1,1.113402,0,0.308571,0,0,0,4.639175,0,1.285714,1.178182,0,0.36,0,0,0,4.909091,0,1.5,0,1.261076,1.361768,1.079846,1.058182,0,0.323333,0,0,0,3.818182,0,1.166667,n
0.821326,1.108333,0.665,0.555784,0.75,0.45,1.482091,2,1.2,0.624804,0.95,0.532,0.4228,0.642857,0.36,1.127466,1.714286,0.96,0.375,2.552837,2.453072,0.96092,0.760727,1.156667,0.647733,0.563733,0.857143,0.48,0.939555,1.428571,0.8,1.013468,0,0.334444,0,0,0,4.545455,0,1.5,0.996689,0,0.286667,0,0,0,4.470199,0,1.285714,0,1.150591,0.991575,0.861796,0.983444,0,0.282857,0,0,0,2.980132,0,0.857143,c
0.737857,0.884444,0.631746,0.556174,0.666667,0.47619,1.334816,1.6,1.142857,0.607819,0.698246,0.530667,0.458155,0.526316,0.4,1.099572,1.263158,0.96,0.416667,3.511169,3.766038,1.072588,0.823763,0.946316,0.7192,0.687233,0.789474,0.6,0.962126,1.105263,0.84,1.042553,0,0.326667,0,0,0,3.829787,0,1.2,0.98,0,0.326667,0,0,0,3.6,0,1.2,0,1.052596,0.999064,0.949143,0.94,0,0.313333,0,0,0,3,0,1,c
0.480213,0.488216,0.471667,0.314927,0.320175,0.309322,1.035375,1.052632,1.016949,0.46965,0.47774,0.461881,0.308,0.313305,0.302905,1.012601,1.030043,0.995851,0.304167,29.410685,36.719602,1.248512,0.978004,0.99485,0.961826,0.961971,0.978541,0.946058,0.995725,1.012876,0.979253,1.052104,0,0.145833,0,0,0,5.711423,0,0.791667,1.062753,0,0.145833,0,0,0,5.769231,0,0.791667,0,1.023006,0.848935,0.829844,1.010121,0,0.138611,0,0,0,7.287449,0,1,c
1.135451,1.170249,1.045422,0.731319,0.753731,0.673333,1.310581,1.350746,1.206667,0.997583,1.05955,0.861612,0.642521,0.682432,0.554945,1.151448,1.222973,0.994505,0.558011,8.188943,3.516174,0.429381,0.878578,0.933153,0.758828,0.852453,0.905405,0.736264,0.954239,1.013514,0.824176,1.058824,0,0.15,0,0,0,20.735294,0,2.9375,1.022727,0,0.092308,0,0,0,20.028409,0,1.807692,0,2.712654,1.964458,0.724183,0.965909,0,0.087179,0,0,0,6.818182,0,0.615385,c
0.919714,1.143991,0.715603,0.618004,0.768707,0.480851,1.323513,1.646259,1.029787,0.717414,0.750744,0.692044,0.482068,0.504464,0.465021,1.032394,1.080357,0.995885,0.466942,1.914184,7.967641,4.162421,0.78004,0.81628,0.752455,0.627115,0.65625,0.604938,1.002531,1.049107,0.967078,1.226054,0,0.142222,0,0,0,7.183908,0,0.833333,1.151079,0,0.170667,0,0,0,6.744604,0,1,0,1.276238,1.272939,0.997415,0.938849,0,0.1392,0,0,0,8.093525,0,1.2,c
1.034775,1.0525,1.0104,1.010469,1.027778,0.986667,1.065089,1.083333,1.04,1.015818,1.0525,0.984156,0.991957,1.027778,0.961039,1.045576,1.083333,1.012987,0.948718,0.830424,0.900753,1.084691,0.98168,1.01713,0.951082,0.965147,1,0.935065,1.005362,1.041667,0.974026,1,0,0.314667,0,0,0,3.177966,0,1,0.951613,0,0.314667,0,0,0,3.024194,0,1,0,1.09434,0.965702,0.882451,0.951613,0,0.314667,0,0,0,3.024194,0,1,n
0.921188,0.956822,0.89442,0.750056,0.77907,0.728261,1.354579,1.406977,1.315217,0.808211,0.924569,0.642865,0.658067,0.752809,0.523438,1.188449,1.359551,0.945313,0.553719,11.613158,1.38908,0.119613,0.877357,1.00367,0.697865,0.844683,0.966292,0.671875,0.903614,1.033708,0.71875,1.05,0,0.171652,0,0,0,4.521277,0,0.73913,1.06396,0,0.188,0,0,0,4.581387,0,0.809524,0,1.137179,1.056718,0.929245,1.013295,0,0.179048,0,0,0,6.198347,0,1.095238,c
